"IdTipoBeneficio_T";"IdAreaDeServicio_T";"IdCondicionDePagoCopago_T";"IdCondicionDePagoCoseguro_T";"IdNivelServicio_T";"IdPlan_T";"Fecha";"IdProveedor_T";"valorCopago";"valorCoseguro";"cantidadLimite"
435;44112018;238;45;2;"36194FL0130003-01";"2018-12-31";36194;0;0;0
350;24442017;34;45;3;"26065SC0380003-02";"2017-12-31";26065;0;100;0
275;99472017;238;45;2;"91450AZ0080035-02";"2017-12-31";91450;0;0;0
5;96292017;238;45;2;"87571OK0460011-04";"2017-12-31";87571;0;0;0
405;109342017;34;36;2;"96667ME0260012-03";"2017-12-31";96667;0;0;0
255;71162018;238;45;1;"54192IN0010016-02";"2018-12-31";54192;0;0;0
225;112022018;34;27;1;"96751NH0150027-06";"2018-12-31";96751;0;25;0
480;111712017;34;27;1;"96751NH0150027-06";"2017-12-31";96751;0;25;0
775;67962018;34;27;1;"54192IN0010010-00";"2018-12-31";54192;0;50;0
765;33812017;238;45;2;"30751MT0550012-02";"2017-12-31";30751;0;0;0
1015;77072018;238;45;3;"66252TX0030004-02";"2018-12-31";66252;0;100;0
775;47942017;207;18;1;"38166WI0150005-00";"2017-12-31";38166;0;0;0
455;104152018;238;45;2;"91762NJ0070093-00";"2018-12-31";91762;0;0;0
250;77172017;238;45;1;"66252TX0030004-02";"2017-12-31";66252;0;0;0
640;16712018;34;27;1;"20129IL0340021-01";"2018-12-31";20129;0;20;60
335;46912018;34;27;1;"37833WI0540010-01";"2018-12-31";37833;0;0;0
710;46912018;34;27;1;"37833WI0540010-01";"2018-12-31";37833;0;0;0
250;37842017;170;27;1;"33602TX0460274-03";"2017-12-31";33602;500;30;0
305;68272018;238;45;1;"54192IN0010012-02";"2018-12-31";54192;0;0;0
590;49962018;238;45;1;"38166WI0180012-06";"2018-12-31";38166;0;0;0
640;103222018;34;27;2;"91762NJ0070093-00";"2018-12-31";91762;0;20;30
190;23112018;238;45;2;"23603MT0300002-00";"2018-12-31";23603;0;0;0
795;44152018;34;45;3;"36194FL0140005-04";"2018-12-31";36194;0;100;35
855;104472018;238;36;1;"91762NJ0070093-00";"2018-12-31";91762;35;0;0
880;82582018;34;27;1;"67243LA0090013-05";"2018-12-31";67243;0;33;0
5;98582017;238;45;1;"89942GA0060004-01";"2017-12-31";89942;0;0;0
75;38522017;238;45;3;"33602TX0770078-02";"2017-12-31";33602;0;0;0
135;38672017;238;45;3;"33602TX0770102-02";"2017-12-31";33602;0;0;35
5;107352017;238;45;1;"93332GA0710044-00";"2017-12-31";93332;0;0;0
130;46502018;34;27;1;"37833WI0510083-06";"2018-12-31";37833;0;5;0
80;38002018;238;45;2;"33602TX0460692-03";"2018-12-31";33602;0;0;0
80;97842018;238;45;1;"89942GA0060004-01";"2018-12-31";89942;0;0;0
440;95312017;238;45;1;"87571OK0350033-06";"2017-12-31";87571;0;0;0
190;76312017;238;45;1;"60829MI0220001-03";"2017-12-31";60829;0;0;0
640;27572018;34;27;1;"27833IL0140001-00";"2018-12-31";27833;0;20;60
735;14662018;51;9;1;"20129IL0330059-01";"2018-12-31";20129;0;0;0
620;64232017;34;18;1;"46275MI0010016-01";"2017-12-31";46275;0;0;0
775;23352018;34;27;3;"23603MT0300002-00";"2018-12-31";23603;0;75;0
455;84422017;238;45;3;"70893GA0010009-04";"2017-12-31";70893;0;0;0
1055;46512018;34;45;3;"37833WI0510083-06";"2018-12-31";37833;0;100;0
625;28072018;238;45;2;"28162OH0060072-00";"2018-12-31";28162;0;0;0
700;33612017;238;45;3;"30751MT0550012-02";"2017-12-31";30751;0;0;0
1035;50012018;34;45;3;"38166WI0180012-06";"2018-12-31";38166;0;100;0
395;38642017;238;45;2;"33602TX0770102-02";"2017-12-31";33602;0;0;0
335;36012018;238;45;2;"31274WV0480009-01";"2018-12-31";31274;0;0;0
825;63132018;238;45;1;"45636KY0020017-02";"2018-12-31";45636;0;0;1
235;34702018;34;27;1;"31195SD0080004-01";"2018-12-31";31195;0;0;0
790;14192018;238;45;2;"20129IL0330054-03";"2018-12-31";20129;0;0;60
645;50412018;238;45;2;"39424OR1460006-00";"2018-12-31";39424;0;0;0
540;96532017;238;36;1;"87571OK0460011-04";"2017-12-31";87571;100;0;0
640;48462017;238;9;1;"38166WI0150005-00";"2017-12-31";38166;50;0;20
180;44432017;207;36;1;"36239KY1130005-05";"2017-12-31";36239;0;0;0
1015;40382018;238;36;1;"36096IL0810111-00";"2018-12-31";36096;85;0;0
1015;26492018;238;45;2;"27248TX0010008-02";"2018-12-31";27248;0;0;0
825;28002018;238;45;3;"28162OH0060068-01";"2018-12-31";28162;0;0;0
790;40472018;34;45;3;"36096IL0810111-02";"2018-12-31";36096;0;100;0
650;44112018;238;36;1;"36194FL0130003-01";"2018-12-31";36194;50;0;0
30;113252017;34;27;1;"98185MI0550001-00";"2017-12-31";98185;0;20;0
735;872017;34;45;3;"11269WY0080014-00";"2017-12-31";11269;0;0;0
700;38502017;238;36;2;"33602TX0770036-05";"2017-12-31";33602;60;0;0
455;82702018;34;45;3;"68711PA0030003-01";"2018-12-31";68711;0;100;0
765;55602018;34;18;1;"41047OH0010019-04";"2018-12-31";41047;0;0;90
330;95722017;238;45;2;"87571OK0350035-02";"2017-12-31";87571;0;0;25
130;48192017;207;18;1;"38166WI0150005-00";"2017-12-31";38166;0;0;0
735;93412017;238;45;1;"83761GA0040022-02";"2017-12-31";83761;0;0;0
750;82812018;34;45;3;"70194PA0540001-00";"2018-12-31";70194;0;100;0
330;70012018;238;45;2;"54192IN0010012-02";"2018-12-31";54192;0;0;60
480;80412017;238;45;2;"66252TX0050001-00";"2017-12-31";66252;0;0;0
750;40392018;238;45;2;"36096IL0810111-00";"2018-12-31";36096;0;0;0
625;82462018;238;45;2;"67243LA0090004-00";"2018-12-31";67243;0;0;0
330;34532018;34;45;1;"30751MT0650009-00";"2018-12-31";30751;0;40;0
1030;2702017;238;45;1;"11512NC0100028-03";"2017-12-31";11512;0;0;0
790;11132018;238;45;2;"19636LA0590003-05";"2018-12-31";19636;0;0;0
750;34302018;34;27;3;"30751MT0650009-00";"2018-12-31";30751;0;50;0
435;59722018;238;45;2;"41921VA0020009-01";"2018-12-31";41921;0;0;0
330;46242017;34;27;1;"37833WI0510053-06";"2017-12-31";37833;0;0;0
585;58182018;34;45;3;"41921VA0020003-01";"2018-12-31";41921;0;100;0
160;10102017;238;45;2;"16842FL0070128-03";"2017-12-31";16842;0;0;0
75;30182018;238;45;3;"29418TX0140002-04";"2018-12-31";29418;0;0;0
395;5002017;238;45;2;"14002TN0190070-00";"2017-12-31";14002;0;0;0
220;70872018;238;45;2;"54192IN0010012-02";"2018-12-31";54192;0;0;0
15;52722017;238;45;1;"40047MI0070001-00";"2017-12-31";40047;0;0;0
620;112982017;238;45;2;"98185MI0550001-00";"2017-12-31";98185;0;0;0
595;93022017;238;45;1;"83761GA0040022-02";"2017-12-31";83761;0;0;0
220;46912018;34;27;1;"37833WI0540010-01";"2018-12-31";37833;0;0;0
